region,network,x,y,z,accuracy,idiff
L_STSvp,Posterior-Mu,-53.862,-36.203,-6.088,0.6681,0.45752
L_TGd,Posterior-Mu,-39.032,7.849,-32.028,0.8732,0.57663
L_TE1a,Posterior-Mu,-59.474,-12.011,-22.022,0.6991,0.49727
L_TE1p,Frontopariet,-59.657,-45.057,-11.747,0.6858,0.46455
L_TE2a,Posterior-Mu,-53.175,-23.422,-29.723,0.8009,0.58898
L_TF,Ventral-Mult,-40.530,-22.595,-27.674,0.7684,0.56671
L_TE2p,Language,-46.959,-40.759,-21.950,0.7094,0.53102
L_PHT,Language,-57.038,-57.211,-1.100,0.8024,0.54285
L_PH,Visual2,-45.479,-61.144,-9.596,0.6460,0.40972
L_TPOJ1,Default,-52.652,-46.044,7.417,0.6504,0.44843
L_TPOJ2,Dorsal-atten,-48.149,-61.154,9.998,0.6475,0.42996
L_TPOJ3,Dorsal-atten,-42.996,-69.694,14.341,0.5826,0.34519
L_DVT,Visual1,-18.361,-71.162,28.540,0.5472,0.34449
L_PGp,Language,-40.176,-80.267,20.870,0.6018,0.33917
L_IP2,Frontopariet,-39.587,-51.092,38.185,0.4631,0.21656
L_IP1,Frontopariet,-30.445,-66.487,39.318,0.4602,0.20042
L_IP0,Language,-31.142,-75.401,23.987,0.5369,0.33333
L_PFop,Cingulo-Oper,-60.066,-23.584,25.819,0.7139,0.50207
L_PF,Cingulo-Oper,-56.277,-39.412,35.308,0.6047,0.40769
L_PFm,Frontopariet,-48.543,-56.422,38.237,0.5664,0.31919
L_PGi,Posterior-Mu,-43.421,-59.144,21.712,0.5575,0.33910
L_PGs,Posterior-Mu,-40.585,-71.633,34.241,0.5059,0.26207
L_V6A,Visual2,-18.809,-84.099,37.684,0.5383,0.27761
L_VMV1,Visual2,-20.061,-52.738,-7.418,0.5000,0.20351
L_VMV3,Visual2,-29.437,-60.103,-10.818,0.4853,0.25338
L_PHA2,Posterior-Mu,-31.303,-36.510,-14.756,0.6386,0.47921
L_V4t,Visual2,-43.383,-76.313,-2.212,0.5811,0.37861
L_FST,Visual2,-46.981,-64.778,-1.800,0.6814,0.47545
L_V3CD,Visual2,-34.519,-85.329,10.533,0.5516,0.33288
L_LO3,Visual2,-44.907,-78.731,9.231,0.6327,0.38473
L_VMV2,Visual2,-28.029,-53.102,-7.245,0.5295,0.24932
L_31pd,Posterior-Mu,-11.355,-51.484,34.155,0.6445,0.40505
L_31a,Frontopariet,-6.193,-37.068,42.005,0.5354,0.34280
L_VVC,Visual2,-31.162,-51.644,-19.156,0.5516,0.28023
L_25,Posterior-Mu,-4.915,23.229,-12.721,0.8569,0.57524
L_s32,Posterior-Mu,-7.304,34.333,-13.236,0.6962,0.51941
L_pOFC,Orbito-Affec,-13.894,13.282,-18.465,0.7655,0.54112
L_PoI1,Cingulo-Oper,-38.116,-12.142,-6.969,0.5900,0.35643
L_Ig,Somatomotor,-35.501,-15.442,13.519,0.5177,0.21116
L_FOP5,Cingulo-Oper,-34.215,26.403,4.763,0.8894,0.57944
L_p10p,Frontopariet,-22.174,57.344,4.066,0.5678,0.33866
L_p47r,Frontopariet,-42.037,39.835,0.807,0.7773,0.54468
L_TGv,Default,-39.083,-2.955,-41.543,0.6224,0.43415
L_MBelt,Auditory,-44.271,-18.800,1.912,0.5162,0.28664
L_LBelt,Auditory,-45.275,-28.238,6.439,0.5649,0.33270
L_A4,Auditory,-62.866,-22.788,4.898,0.6814,0.47714
L_STSva,Posterior-Mu,-51.913,-14.253,-16.840,0.6991,0.51537
L_TE1m,Frontopariet,-60.899,-29.036,-17.069,0.6976,0.51666
L_PI,Cingulo-Oper,-43.663,-6.440,-15.547,0.6077,0.42234
L_a32pr,Cingulo-Oper,-10.615,29.208,26.916,0.6519,0.42532
L_p24,Cingulo-Oper,-4.585,34.611,15.001,0.5177,0.26081
